Stock,Average_Percentage_Increase,Price_Std_dev,Cluster
ACB,12.128192683242853,7121.870287204917,0
BCM,24.35598006091045,23054.38832367505,4
BID,20.75515574454377,12552.080303248738,4
BVH,4.901714310619169,16500.44398951261,5
CTG,10.8969179193171,8407.310790844253,0
FPT,16.098812396446963,28869.413386886143,2
GAS,5.893347078310899,21416.08427915305,5
GVR,32.79333819100015,9051.235474444718,4
HDB,12.623015703945592,4597.904993497534,0
HPG,25.26748698365021,10574.173694272054,4
MBB,21.732648412056548,7109.586326809727,4
MSN,5.136641789520519,23119.246655237814,5
MWG,23.890528975681,18241.925212753195,4
PLX,-6.597309880958143,12663.59060885009,3
POW,-1.945118823987115,2153.831400922202,3
SAB,-9.932948198396415,57686.41685408653,1
SHB,11.593360412892444,4668.149527160615,0
SSB,-3.662489683555077,4048.307503757736,3
SSI,16.359788706163087,9050.33820358331,0
STB,10.87755992194846,7205.148732125231,0
TCB,15.702132835136592,10460.853102837957,0
TPB,10.75832327518502,6567.254522147613,0
VCB,15.011554307012691,29039.06388618026,2
VHM,-4.751745771493392,11816.324272328073,3
VIB,24.137219800054453,7919.053384933794,4
VIC,8.415048531451744,29778.052126988943,2
VJC,6.839429158616025,21439.980390651755,5
VNM,-2.177599886359277,22890.112115634096,5
VPB,20.93137451797539,6329.417917652891,4
VRE,-6.199279155736579,4786.751641673003,3
